ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
04302-3701-1.zip,202202091407,刈田郡七ケ宿町字茂庭道,51-1,,
04302-3701-1.zip,202202091407,刈田郡七ケ宿町字茂庭道,51-3,,
04302-3701-1.zip,202202091407,刈田郡七ケ宿町字茂庭道,51-4,,
04302-3701-1.zip,202202091407,刈田郡七ケ宿町字茂庭道,52-2,,
04302-3701-1.zip,202202091407,刈田郡七ケ宿町字茂庭道,52-1,,
04302-3701-2.zip,202202091407,刈田郡七ケ宿町字柳沢山,8,,
04302-3701-2.zip,202202091407,刈田郡七ケ宿町字柳沢山,水-124,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,1,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,2,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,3,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,4,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,5,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,6,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,6-1,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,7-1,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,7-2,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,7-3,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,7-4,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,8,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,9,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,10,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,11,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,12,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,13,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,14,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,15,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,16,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,17,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,18,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,19,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,19-2,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,20,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,21,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,22,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,22-2,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,23,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,24,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,25,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,28,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,29,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,30,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,筆界未定地-1,刈田郡七ケ宿町字愛宕,26
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,筆界未定地-1,刈田郡七ケ宿町字愛宕,27
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,道-1,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,道-2,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,水-1,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,水-2,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,水-3,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,水-4,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,水-5,,
04302-3701-3.zip,202202091407,刈田郡七ケ宿町字愛宕,水-6,,
04302-3701-4.zip,202202091407,刈田郡七ケ宿町字沖,1,,
04302-3701-4.zip,202202091407,刈田郡七ケ宿町字沖,2,,
04302-3701-4.zip,202202091407,刈田郡七ケ宿町字沖,4,,
04302-3701-4.zip,202202091407,刈田郡七ケ宿町字沖,5,,
04302-3701-4.zip,202202091407,刈田郡七ケ宿町字沖,6-1,,
